,bus_route_name,bus_route_link
0,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
1,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
2,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
3,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
4,Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
5,Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
6,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
7,Patiala to Delhi Airport,https://www.redbus.in/bus-tickets/patiala-to-delhi-airport
8,Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
9,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
10,Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
11,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
12,Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
13,Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
14,Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
15,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
16,Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
17,Kapurthala to Delhi,https://www.redbus.in/bus-tickets/kapurthala-to-delhi
18,Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
19,Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
20,Chandigarh to Faridkot,https://www.redbus.in/bus-tickets/chandigarh-to-faridkot
21,Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
